cities,geocoded,point,lat,lon
"ARCACHON, FRANCE","33120 Arcachon, France","(44.652297, -1.1785016, 0.0)",44.652297,-1.1785016
"LYON ST EXUPERY, FRANCE","Lyon-Saint Exupéry Airport (LYS), 69125 Colombier-Saugnieu, France","(45.7234181, 5.0887768, 0.0)",45.7234181,5.0887768
"ALBERTVILLE, FRANCE","73200 Albertville, France","(45.675535, 6.392726, 0.0)",45.675535,6.392726
"CALAIS FRETHUN, FRANCE","62185 Fréthun, France","(50.917288, 1.824342, 0.0)",50.917288,1.824342
"CORBIERES VIERZON VILLE, FRANCE","18100 Vierzon, France","(47.221438, 2.069791, 0.0)",47.221438,2.069791
"CHATEAUROUX, FRANCE","36000 Châteauroux, France","(46.811434, 1.686779, 0.0)",46.811434,1.686779
"DAX, FRANCE","40100 Dax, France","(43.708608, -1.051945, 0.0)",43.708608,-1.051945
"CROIX WASQUEHAL, FRANCE","Gare Croix - Wasquehal, Rue Denis Papin, 59290 Wasquehal, France","(50.6785828, 3.1380524, 0.0)",50.6785828,3.1380524
"CHAMPAGNE ARDENNE, FRANCE","Champagne-Ardenne, France","(48.7934092, 4.4725249, 0.0)",48.7934092,4.4725249
"MONTBARD, FRANCE","21500 Montbard, France","(47.624329, 4.337495, 0.0)",47.624329,4.337495
"ROCAMADOUR PADIRAC, FRANCE","46500 Padirac, France","(44.841613, 1.753443, 0.0)",44.841613,1.753443
"Luxembourg, FRANCE",Luxembourg,"(49.815273, 6.129582999999999, 0.0)",49.815273,6.129582999999999
"ST GERMAIN DES FOSSES, FRANCE","03260 Saint-Germain-des-Fossés, France","(46.206776, 3.43472, 0.0)",46.206776,3.43472
"PORNICHET, FRANCE","44380 Pornichet, France","(47.263426, -2.340571, 0.0)",47.263426,-2.340571
"AIX LES BAINS LE REVARD, FRANCE","Gare d'Aix les Bains-Le Revard, Pl. de la Gare, 73100 Aix-les-Bains, France","(45.6881598, 5.9093079, 0.0)",45.6881598,5.9093079
